	chao1	shannon	observed_otus	simpson	equitability
10317.000030735	309.884615385	5.99063492708	179.0	0.96419	0.80047867363
10317.000022541	243.555555556	4.97702178564	128.0	0.910048	0.711003112234
10317.000034132	159.176470588	3.29151815991	90.0	0.757734	0.5070228964
10317.000026633	343.260869565	5.65487152753	173.0	0.953572	0.760612549059
10317.000028715	146.4	4.76000606024	97.0	0.916872	0.7212225637
10317.000026126	143.75	4.34178187571	95.0	0.89389	0.660864124655
10317.000033665	221.117647059	4.62081153905	117.0	0.892266	0.672571504956
10317.000028755	338.875	5.64558620457	156.0	0.953756	0.774917572835
10317.000026501	202.666666667	5.34721397672	116.0	0.938738	0.779706735921
10317.000016485	246.352941176	4.44860334631	124.0	0.861638	0.639700570383
10317.000001001	181.789473684	4.39539512149	112.0	0.870046	0.645683260505
10317.000013049	253.666666667	5.82955722809	159.0	0.96439	0.797162659889
10317.000002334	295.884615385	5.71285077883	165.0	0.958784	0.775536368445
10317.000006797	157.037037037	4.67181840481	117.0	0.89821	0.679995690985
10317.000013156	329.777777778	6.43213551809	188.0	0.979142	0.851420989862
10317.000001529	352.142857143	5.9298027987	174.0	0.965604	0.796701305338
10317.000002418b	386.041666667	6.12154121428	188.0	0.969338	0.810307659949
10317.000005849	183.0	4.08116958241	105.0	0.830278	0.607837406552
10317.000003282	230.142857143	4.48855175026	128.0	0.877718	0.641221678609
10317.000011341	331.105263158	5.51273018323	152.0	0.956046	0.760594000561
10317.000013355	314.034482759	6.01046972424	188.0	0.96185	0.795605140432
10317.000006794	302.333333333	5.16928535063	144.0	0.926594	0.720967841308
10317.000009593	237.125	4.85697946397	155.0	0.86424	0.66752287254
10317.000028723	241.5	5.32723965576	144.0	0.942148	0.742997960883
10317.000002774	160.0	4.43744270433	115.0	0.849944	0.648228639777
10317.000001531	246.785714286	6.04803023222	163.0	0.96828	0.823003668837
10317.000018027	409.875	6.24105093037	191.0	0.975296	0.823637024116
10317.000001399	197.714285714	5.1226727235	127.0	0.936968	0.732995256346
10317.000001948	181.090909091	4.86873954151	99.0	0.930158	0.73442112418
10317.000001032	222.75	5.2496029565	123.0	0.949202	0.756152969138
10317.000016697	322.275	6.70412127889	213.0	0.98413	0.86675797904
10317.000011162	307.047619048	4.11145558231	145.0	0.765688	0.572633376101
10317.000005999	300.571428571	4.86618807934	133.0	0.919216	0.689722647367
10317.000001362	309.5	6.26922174219	185.0	0.974864	0.83241325314
10317.000010947	166.166666667	5.41742297238	116.0	0.957736	0.789944296467
10317.000002851	224.5	5.22872003778	136.0	0.935276	0.737742144812
10317.000035452	240.096774194	6.27081888538	173.0	0.973844	0.843460990029
10317.000005928	308.5	5.98892341246	181.0	0.955984	0.798539530362
10317.000027807	316.555555556	6.0247623275	178.0	0.969066	0.805909197156
10317.000031313	437.677419355	6.25855994802	215.0	0.97048	0.807744472745
10317.000014458	199.0	5.23563454194	115.0	0.943672	0.764829764264
10317.000016759	260.84375	5.76928973433	167.0	0.957294	0.781354386065
10317.000014308	306.090909091	5.82050780539	182.0	0.952458	0.77526198895
10317.000010546	169.619047619	4.2346774517	104.0	0.869766	0.631999932816
10317.000015305	378.689655172	6.35750895393	208.0	0.970514	0.825603366384
