f__	 o__Pasteurellales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	6.83591246614e-07
f__Crenotrichaceae	 o__Methylococcales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	8.52834676835e-07
f__0319-6G20	 o__Myxococcales	 c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	3.1038811687e-06
f__Leuconostocaceae	 o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__Bacteria	0.000745388438301
f__[Thermicanaceae]	 o__Bacillales	 c__Bacilli	 p__Firmicutes	k__Bacteria	4.64497131713e-06
f__Methanobacteriaceae	 o__Methanobacteriales	 c__Methanobacteria	 p__Euryarchaeota	k__Archaea	0.000204396975442
f__Phyllobacteriaceae	 o__Rhizobiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	1.09414179206e-05
f__	 o__RF32	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.00402436791223
f__Lactobacillaceae	 o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__Bacteria	0.00294409412742
f__	 o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__Bacteria	0.000194060459037
f__Paenibacillaceae	 o__Bacillales	 c__Bacilli	 p__Firmicutes	k__Bacteria	0.00033070790181
f__Anaeroplasmataceae	 o__Anaeroplasmatales	 c__Mollicutes	 p__Tenericutes	k__Bacteria	0.000131740057672
f__Bifidobacteriaceae	 o__Bifidobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	0.0105549765692
f__	 o__Solirubrobacterales	 c__Thermoleophilia	 p__Actinobacteria	k__Bacteria	2.57348619665e-06
f__Cellulomonadaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	8.51406619511e-06
f__Acidobacteriaceae	 o__Acidobacteriales	 c__Acidobacteriia	 p__Acidobacteria	k__Bacteria	3.27328565115e-07
f__[Methanomassiliicoccaceae]	 o__E2	 c__Thermoplasmata	 p__Euryarchaeota	k__Archaea	6.49031846049e-06
f__RF16	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__Bacteria	1.19033152366e-05
f__Dehalobacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__Bacteria	7.73800888275e-05
f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__Bacteria	0.16050721602
f__Peptostreptococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__Bacteria	0.00379728459759
