o__Acidobacteriales	 c__Acidobacteriia	 p__Acidobacteria	k__Bacteria	o__BPC076	 c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	0.197336859864	1.54167995051e-13
o__[Saprospirales]	 c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	0.194753165797	3.218270561e-13
o__[Saprospirales]	 c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	o__Sphingomonadales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.124692946632	3.52403943718e-06
o__[Saprospirales]	 c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	o__CW040	 c__TM7-3	 p__TM7	k__Bacteria	0.138937589583	2.31151879476e-07
o__[Saprospirales]	 c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	o__[Rhodothermales]	 c__[Rhodothermi]	 p__Bacteroidetes	k__Bacteria	0.277754099553	8.89276108715e-26
o__[Saprospirales]	 c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	o__Sphingobacteriales	 c__Sphingobacteriia	 p__Bacteroidetes	k__Bacteria	0.178901252502	2.36061295333e-11
o__[Saprospirales]	 c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	o__Alteromonadales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.178192554366	2.83539515749e-11
o__[Saprospirales]	 c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	o__[Chthoniobacterales]	 c__[Spartobacteria]	 p__Verrucomicrobia	k__Bacteria	0.30583185637	3.68671767495e-31
o__[Saprospirales]	 c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	o__Rhodospirillales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.254150164001	1.03661985366e-21
o__[Saprospirales]	 c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	o__Ellin6513	 c__DA052	 p__Acidobacteria	k__Bacteria	0.302196613727	1.98546456475e-30
o__[Saprospirales]	 c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	o__Bdellovibrionales	 c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	0.318264486258	9.69525269983e-34
o__[Saprospirales]	 c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	o__Acidimicrobiales	 c__Acidimicrobiia	 p__Actinobacteria	k__Bacteria	0.302323112197	1.8732318246e-30
o__[Saprospirales]	 c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	o__Methylococcales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.194753165797	3.218270561e-13
o__[Saprospirales]	 c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	o__	 c__Gitt-GS-136	 p__Chloroflexi	k__Bacteria	0.120040050496	8.07055491801e-06
o__[Saprospirales]	 c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	o__Cytophagales	 c__Cytophagia	 p__Bacteroidetes	k__Bacteria	0.119673415575	8.60413563423e-06
o__[Saprospirales]	 c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	o__Solibacterales	 c__Solibacteres	 p__Acidobacteria	k__Bacteria	0.246775929482	1.59654439538e-20
o__[Saprospirales]	 c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	o__Desulfuromonadales	 c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	0.308416404254	1.09755034315e-31
o__[Saprospirales]	 c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	o__Solirubrobacterales	 c__Thermoleophilia	 p__Actinobacteria	k__Bacteria	0.326552418706	1.57519460604e-35
o__[Saprospirales]	 c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	o__Rhizobiales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	0.166721506923	4.96652075098e-10
o__[Saprospirales]	 c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	o__Deinococcales	 c__Deinococci	 p__[Thermi]	k__Bacteria	0.119309422116	9.16708277963e-06
o__[Saprospirales]	 c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	o__Desulfobacterales	 c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	0.277754099553	8.89276108715e-26
o__[Saprospirales]	 c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	o__Gaiellales	 c__Thermoleophilia	 p__Actinobacteria	k__Bacteria	0.280925564264	2.35084104005e-26
o__[Saprospirales]	 c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	o__BPC076	 c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	0.277754099553	8.89276108715e-26
o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	o__[Rhodothermales]	 c__[Rhodothermi]	 p__Bacteroidetes	k__Bacteria	0.707364051263	4.06356942349e-209
o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	o__Alteromonadales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.234755453995	1.13853080996e-18
o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	o__Acidimicrobiales	 c__Acidimicrobiia	 p__Actinobacteria	k__Bacteria	0.195327227563	2.73517912937e-13
o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	o__Oceanospirillales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.222626548293	6.66945863567e-17
o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	o__Methylococcales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	0.5	7.28904418114e-88
o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	o__	 c__Gitt-GS-136	 p__Chloroflexi	k__Bacteria	0.315882015175	3.09435636221e-33
o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	o__Solirubrobacterales	 c__Thermoleophilia	 p__Actinobacteria	k__Bacteria	0.140225753609	1.78155785651e-07
o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	o__Deinococcales	 c__Deinococci	 p__[Thermi]	k__Bacteria	0.314036111079	7.54967045786e-33
o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	o__Desulfobacterales	 c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	0.707364051263	4.06356942349e-209
o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	o__[Brachyspirales]	 c__[Brachyspirae]	 p__Spirochaetes	k__Bacteria	0.220992009581	1.13390399116e-16
o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	o__Gaiellales	 c__Thermoleophilia	 p__Actinobacteria	k__Bacteria	0.146304818103	5.04997503187e-08
o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	o__BPC076	 c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	0.707364051263	4.06356942349e-209
o__Euzebyales	 c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	o__Methylophilales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	0.132629105135	8.00015603536e-07
o__Sphingomonadales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Sphingobacteriales	 c__Sphingobacteriia	 p__Bacteroidetes	k__Bacteria	0.182506660941	9.18558418187e-12
o__Sphingomonadales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	o__Myxococcales	 c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	0.122143695312	5.56948599168e-06
