c__Deinococci	 p__[Thermi]	k__Bacteria	c__Gitt-GS-136	 p__Chloroflexi	k__Bacteria	0.197077756272	1.66052948005e-13
c__Deinococci	 p__[Thermi]	k__Bacteria	c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	0.314036111079	7.54967045786e-33
c__Deinococci	 p__[Thermi]	k__Bacteria	c__[Brachyspirae]	 p__Spirochaetes	k__Bacteria	0.136301907728	3.90960992525e-07
c__Deinococci	 p__[Thermi]	k__Bacteria	c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	0.119309422116	9.16708277963e-06
c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	0.114854543266	1.96191317474e-05
c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	c__Mollicutes	 p__Tenericutes	k__Bacteria	0.272623165452	7.3776302393e-25
c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	c__Opitutae	 p__Verrucomicrobia	k__Bacteria	0.204808068609	1.73325115506e-14
c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	c__Methanobacteria	 p__Euryarchaeota	k__Archaea	0.29378479129	8.91871153373e-29
c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	c__Elusimicrobia	 p__Elusimicrobia	k__Bacteria	0.175796729939	5.23935280219e-11
c__[Lentisphaeria]	 p__Lentisphaerae	k__Bacteria	c__Synergistia	 p__Synergistetes	k__Bacteria	0.191690802274	7.59935263385e-13
c__[Spartobacteria]	 p__Verrucomicrobia	k__Bacteria	c__Thermoleophilia	 p__Actinobacteria	k__Bacteria	0.662256917043	2.48589110221e-174
c__[Spartobacteria]	 p__Verrucomicrobia	k__Bacteria	c__Gemmatimonadetes	 p__Gemmatimonadetes	k__Bacteria	0.186408511206	3.2359091287e-12
c__[Spartobacteria]	 p__Verrucomicrobia	k__Bacteria	c__DA052	 p__Acidobacteria	k__Bacteria	0.760721969102	5.43353934497e-260
c__[Spartobacteria]	 p__Verrucomicrobia	k__Bacteria	c__TM7-3	 p__TM7	k__Bacteria	0.141105055629	1.48940950447e-07
c__[Spartobacteria]	 p__Verrucomicrobia	k__Bacteria	c__Solibacteres	 p__Acidobacteria	k__Bacteria	0.690389237553	2.82934367105e-195
c__[Spartobacteria]	 p__Verrucomicrobia	k__Bacteria	c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	0.30583185637	3.68671767495e-31
c__Thermoleophilia	 p__Actinobacteria	k__Bacteria	c__Gemmatimonadetes	 p__Gemmatimonadetes	k__Bacteria	0.182414229518	9.41284264495e-12
c__Thermoleophilia	 p__Actinobacteria	k__Bacteria	c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	0.130001053033	1.31997650174e-06
c__Thermoleophilia	 p__Actinobacteria	k__Bacteria	c__Sphingobacteriia	 p__Bacteroidetes	k__Bacteria	0.134533150625	5.53243048272e-07
c__Thermoleophilia	 p__Actinobacteria	k__Bacteria	c__DA052	 p__Acidobacteria	k__Bacteria	0.783679089063	3.25642081273e-286
c__Thermoleophilia	 p__Actinobacteria	k__Bacteria	c__TM7-3	 p__TM7	k__Bacteria	0.159798150038	2.54700439658e-09
c__Thermoleophilia	 p__Actinobacteria	k__Bacteria	c__Solibacteres	 p__Acidobacteria	k__Bacteria	0.63164879876	5.48555146977e-154
c__Thermoleophilia	 p__Actinobacteria	k__Bacteria	c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	0.30204462905	2.12915634786e-30
c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	c__Bacilli	 p__Firmicutes	k__Bacteria	-0.190119530432	1.174492504e-12
c__Gitt-GS-136	 p__Chloroflexi	k__Bacteria	c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	0.315882015175	3.09435636221e-33
c__Gitt-GS-136	 p__Chloroflexi	k__Bacteria	c__[Brachyspirae]	 p__Spirochaetes	k__Bacteria	0.137127422879	3.31975233842e-07
c__Gitt-GS-136	 p__Chloroflexi	k__Bacteria	c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	0.120040050496	8.07055491801e-06
c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	c__Sphingobacteriia	 p__Bacteroidetes	k__Bacteria	0.148591779312	3.10028824156e-08
c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	c__Bacilli	 p__Firmicutes	k__Bacteria	0.284342088203	5.49902379201e-27
c__Gemmatimonadetes	 p__Gemmatimonadetes	k__Bacteria	c__DA052	 p__Acidobacteria	k__Bacteria	0.224505536092	3.60474577027e-17
c__Gemmatimonadetes	 p__Gemmatimonadetes	k__Bacteria	c__Solibacteres	 p__Acidobacteria	k__Bacteria	0.228236859621	1.04481470346e-17
c__Mollicutes	 p__Tenericutes	k__Bacteria	c__Opitutae	 p__Verrucomicrobia	k__Bacteria	0.130851896828	1.12361976587e-06
c__Mollicutes	 p__Tenericutes	k__Bacteria	c__Methanobacteria	 p__Euryarchaeota	k__Archaea	0.284386172683	5.39618372478e-27
c__Opitutae	 p__Verrucomicrobia	k__Bacteria	c__Methanobacteria	 p__Euryarchaeota	k__Archaea	0.141597726329	1.34655191869e-07
c__Opitutae	 p__Verrucomicrobia	k__Bacteria	c__Verruco-5	 p__Verrucomicrobia	k__Bacteria	0.169149961331	2.75311122881e-10
c__Opitutae	 p__Verrucomicrobia	k__Bacteria	c__Elusimicrobia	 p__Elusimicrobia	k__Bacteria	0.188639887893	1.76368545727e-12
c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	c__[Brachyspirae]	 p__Spirochaetes	k__Bacteria	0.220992009581	1.13390399116e-16
c__Nitriliruptoria	 p__Actinobacteria	k__Bacteria	c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	0.194753165797	3.218270561e-13
c__Methanobacteria	 p__Euryarchaeota	k__Archaea	c__Thermoplasmata	 p__Euryarchaeota	k__Archaea	0.111943405349	3.17858247097e-05
c__Methanobacteria	 p__Euryarchaeota	k__Archaea	c__Synergistia	 p__Synergistetes	k__Bacteria	0.353501462976	9.62694935749e-42
c__Thermoplasmata	 p__Euryarchaeota	k__Archaea	c__Synergistia	 p__Synergistetes	k__Bacteria	0.135648384856	4.44700234597e-07
c__[Brachyspirae]	 p__Spirochaetes	k__Bacteria	c__Elusimicrobia	 p__Elusimicrobia	k__Bacteria	0.145555392541	5.91587366987e-08
c__Sphingobacteriia	 p__Bacteroidetes	k__Bacteria	c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	0.178901252502	2.36061295333e-11
c__Chloroplast	 p__Cyanobacteria	k__Bacteria	c__TM7-3	 p__TM7	k__Bacteria	0.131781049738	9.41309881621e-07
c__Chloroplast	 p__Cyanobacteria	k__Bacteria	c__Bacilli	 p__Firmicutes	k__Bacteria	0.164401896792	8.65566620268e-10
c__DA052	 p__Acidobacteria	k__Bacteria	c__TM7-3	 p__TM7	k__Bacteria	0.145068573635	6.55358365067e-08
c__DA052	 p__Acidobacteria	k__Bacteria	c__Solibacteres	 p__Acidobacteria	k__Bacteria	0.767030661468	6.7867239889e-267
c__DA052	 p__Acidobacteria	k__Bacteria	c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	0.302196613727	1.98546456475e-30
c__TM7-3	 p__TM7	k__Bacteria	c__Solibacteres	 p__Acidobacteria	k__Bacteria	0.120559588936	7.36828035458e-06
c__TM7-3	 p__TM7	k__Bacteria	c__Bacilli	 p__Firmicutes	k__Bacteria	0.144963352761	6.6999128584e-08
c__Solibacteres	 p__Acidobacteria	k__Bacteria	c__[Saprospirae]	 p__Bacteroidetes	k__Bacteria	0.246775929482	1.59654439538e-20
