	chao1	shannon	observed_otus	simpson	equitability
10317.000002578	534.571428571	5.97284935831	391.0	0.96599982	0.693628168413
10317.000007719	489.75	5.06772701103	333.0	0.9290985	0.604785556759
10317.000006716	591.041666667	5.95805214019	452.0	0.95508408	0.67550240937
10317.000006802	507.961538462	5.74910017965	407.0	0.94100272	0.663187963629
10317.000002898	505.175438596	5.77252474179	382.0	0.95726858	0.672990106654
10317.000001647	502.942857143	5.76182247371	385.0	0.95132944	0.670859694167
10317.000002878	398.8125	5.63775464043	341.0	0.92951502	0.670074156831
10317.000017667	723.892857143	5.98998566697	433.0	0.9646478	0.683927038637
10317.000009213	493.631578947	5.66829764215	362.0	0.95028658	0.666870637121
10317.000031434	565.566037736	5.22111890342	374.0	0.92155442	0.610879065832
10317.000027217	533.438596491	4.67999870004	370.0	0.8272376	0.548562823231
10317.000001546	617.046511628	6.34394995456	394.0	0.97592144	0.735781933048
10317.000009074	538.138888889	5.99026342323	403.0	0.9680079	0.692145042666
10317.000027277	700.358974359	5.53288192215	475.0	0.92521598	0.622246571309
10317.000001333	270.037037037	4.321989633	178.0	0.90917844	0.578135867592
10317.000023984	631.676056338	5.80417070976	448.0	0.94785714	0.659014058264
10317.000028933	665.296296296	6.17816889613	473.0	0.96485106	0.695293721116
10317.000015568	655.692307692	6.06316967251	456.0	0.96513734	0.686431016664
10317.000006944	571.495412844	2.97346374815	435.0	0.55952394	0.339247839215
10317.000002028	626.380952381	5.55680394438	432.0	0.91132062	0.634708777584
10317.000003896	503.016129032	5.88742228168	382.0	0.95602436	0.686385442504
10317.000011025	701.01754386	6.2917862598	449.0	0.97244494	0.714117825794
10317.000017293	834.904761905	5.92693540596	503.0	0.95395976	0.660425852477
10317.000031284	363.193548387	3.67593429416	213.0	0.80661238	0.475251751474
10317.000020034	694.493670886	5.97388472875	486.0	0.95784166	0.6693568886
10317.000031847	672.769230769	5.48306994175	403.0	0.9368965	0.633541367156
10317.000013935	603.261904762	6.16014266131	472.0	0.96444094	0.69350334434
10317.000014019	693.402985075	6.31037391457	489.0	0.96838756	0.706356886342
10317.000023052	455.05	5.40425610561	340.0	0.94052688	0.642645364765
10317.000015385	693.8	6.39809244597	460.0	0.97353052	0.723316900377
10317.000017354	801.337837838	6.66482265431	527.0	0.97508628	0.737123855537
10317.000023475	625.131578947	6.51695989553	464.0	0.97689144	0.735716174951
10317.000003475	606.424242424	5.94456349799	459.0	0.94626412	0.672283190229
10317.000017269	535.493150685	5.66283297147	406.0	0.93670828	0.653504148666
