	Test	OneGroup	OneCount	OneMean	TwoGroup	TwoCount	TwoMean	pValue	TestStatistic	pFDR	pBonferroni	NumBonferroni	taxon
0	KruskalWallis	All	1375.0	3.40197104524031e-06				0.7428738498594498	1.2423170084724349				368711
0	KruskalWallis	All	1375.0	4.320118565520834e-08				0.9737459163049805	0.22328284020108008				192228
0	KruskalWallis	All	1375.0	9.871014521094573e-06				0.6227137633666677	1.764393615647604				4450198
0	KruskalWallis	All	1375.0	9.783989197768391e-06				0.9146805337817314	0.5190778761364142				4450194
0	KruskalWallis	All	1375.0	1.2560219165410446e-06				0.7416275647431831	1.2475345746408604				4327501
0	KruskalWallis	All	1375.0	8.916386142701081e-07				0.06311136083713041	7.293401449103961				925707
0	KruskalWallis	All	1375.0	1.7703268902369276e-07				0.9904149519404412	0.11156022634047037				292255
0	KruskalWallis	All	1375.0	1.6766971441348226e-05				0.22382629806644175	4.373808197897496				165611
0	KruskalWallis	All	1375.0	1.0716337857635582e-06				0.8798155178816943	0.6718019035127694				227000
0	KruskalWallis	All	1375.0	4.909943388471722e-06				0.9247965205488234	0.4729323450946208				3438642
0	KruskalWallis	All	1375.0	7.876796510088279e-06				0.1941824676838069	4.711508388233266				210095
0	KruskalWallis	All	1375.0	0.0001155583072084963				0.00047630638499666954	17.83228433856905				4462432
0	KruskalWallis	All	1375.0	2.8023675496267997e-05				0.3800839667136069	3.075808991199339				191148
0	KruskalWallis	All	1375.0	0.025038340892905405				0.09947130160404233	6.26349140676685				4467447
0	KruskalWallis	All	1375.0	9.395469749771154e-06				0.849919484507047	0.7981081532674822				297917
0	KruskalWallis	All	1375.0	2.3945827296245512e-05				0.5758448667911111	1.9834689456855081				15700
0	KruskalWallis	All	1375.0	6.591856816339196e-07				0.9056543991939813	0.5594273724258976				3816676
0	KruskalWallis	All	1375.0	1.5168267559413498e-05				0.5096030661426063	2.3152638548006257				4456091
0	KruskalWallis	All	1375.0	5.7445025270858285e-05				0.6414206594199316	1.679859832946882				137183
0	KruskalWallis	All	1375.0	7.950764698799866e-06				0.1202149054225166	5.829340563743234				2820255
0	KruskalWallis	All	1375.0	1.4501293572625808e-06				0.8261416020714463	0.8970419223124225				1523543
0	KruskalWallis	All	1375.0	3.1972010238078124e-05				0.4919963566330442	2.408812124214004				147195
0	KruskalWallis	All	1375.0	4.419096018670681e-07				0.9904149519404412	0.11156022634047037				808203
0	KruskalWallis	All	1375.0	8.435176301663387e-06				0.3914648255486357	3.0010402009475947				157246
0	KruskalWallis	All	1375.0	2.1097795628503762e-05				0.2945318621761529	3.709981381686394				4453316
0	KruskalWallis	All	1375.0	1.315507561533747e-06				0.9737459163049805	0.22328284020108008				4480882
0	KruskalWallis	All	1375.0	5.176987074429038e-06				0.8016375551671969	0.9984064256185162				183414
0	KruskalWallis	All	1375.0	4.313456341987098e-06				0.43890753311675657	2.707775578531398				374557
0	KruskalWallis	All	1375.0	6.007730627757034e-07				9.148470720375261e-07	30.848461442246144				1765402
0	KruskalWallis	All	1375.0	2.6637465548200097e-06				0.9042222942359095	0.5657680166415641				132661
0	KruskalWallis	All	1375.0	1.1780139026559833e-07				0.8560286419076771	0.772517120347013				4296603
0	KruskalWallis	All	1375.0	1.6269692989032765e-05				0.39698868248201613	2.965412534379404				710432
0	KruskalWallis	All	1375.0	6.263798072834801e-06				0.7810787455682353	1.0834168886558508				4338161
0	KruskalWallis	All	1375.0	2.373614295627453e-06				0.8532089131185863	0.7843400074261383				325329
0	KruskalWallis	All	1375.0	1.8560987295765587e-06				0.6561126800823958	1.6144727995932966				4437024
