f__Verrucomicrobiaceae	 o__Verrucomicrobiales	 c__Verrucomicrobiae	 p__Verrucomicrobia	k__	f__Rikenellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.266093643767	3.18616572685e-06
f__Verrucomicrobiaceae	 o__Verrucomicrobiales	 c__Verrucomicrobiae	 p__Verrucomicrobia	k__	f__Bifidobacteriaceae	 o__Bifidobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	0.291228856908	3.09419852033e-07
f__Verrucomicrobiaceae	 o__Verrucomicrobiales	 c__Verrucomicrobiae	 p__Verrucomicrobia	k__	f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.261470761176	4.77259491233e-06
f__Verrucomicrobiaceae	 o__Verrucomicrobiales	 c__Verrucomicrobiae	 p__Verrucomicrobia	k__	f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.370054089579	4.19739477559e-11
f__Verrucomicrobiaceae	 o__Verrucomicrobiales	 c__Verrucomicrobiae	 p__Verrucomicrobia	k__	f__Dehalobacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.268021189571	2.68610995062e-06
f__	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__	f__Alcaligenaceae	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__	0.372379504607	3.10223007273e-11
f__	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__	f__	 o__	 c__Betaproteobacteria	 p__Proteobacteria	k__	0.239342744887	2.97758975896e-05
f__	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	0.244482575728	1.9756586955e-05
f__	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.314509953625	2.89150593706e-08
f__	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.251366587467	1.12447138802e-05
f__	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.31872356419	1.84108830856e-08
f__	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	f__Dehalobacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.247225931223	1.58131949249e-05
f__Victivallaceae	 o__Victivallales	 c__Lentisphaerae	 p__Lentisphaerae	k__	f__	 o__	 c__	 p__	k__	0.252344029664	1.03661911717e-05
f__Victivallaceae	 o__Victivallales	 c__Lentisphaerae	 p__Lentisphaerae	k__	f__	 o__	 c__ML615J-28	 p__Tenericutes	k__	0.28574303423	5.24990517942e-07
f__Victivallaceae	 o__Victivallales	 c__Lentisphaerae	 p__Lentisphaerae	k__	f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.253744695304	9.22023014154e-06
f__Victivallaceae	 o__Victivallales	 c__Lentisphaerae	 p__Lentisphaerae	k__	f__	 o__	 c__Alphaproteobacteria	 p__Proteobacteria	k__	0.282550300439	7.10480541042e-07
f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	f__Synergistaceae	 o__Synergistales	 c__Synergistia	 p__Synergistetes	k__	0.258682427468	6.06757822566e-06
f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	f__Bifidobacteriaceae	 o__Bifidobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	0.237378608716	3.4746840581e-05
f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.387808658102	3.92206979518e-12
f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	f__Desulfovibrionaceae	 o__Desulfovibrionales	 c__Deltaproteobacteria	 p__Proteobacteria	k__	0.257004775103	7.00122899179e-06
f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.305930471619	7.09560737847e-08
f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.317071187215	2.19946972143e-08
f__ClostridialesFamilyXI.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	f__Propionibacteriaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__	0.364770594419	8.2686827884e-11
f__Pasteurellaceae	 o__Pasteurellales	 c__Gammaproteobacteria	 p__Proteobacteria	k__	f__Clostridiaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.246807273824	1.63624426335e-05
f__	 o__	 c__	 p__	k__	f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.24932300349	1.33152327262e-05
f__	 o__	 c__	 p__	k__	f__	 o__	 c__ML615J-28	 p__Tenericutes	k__	0.286210473888	5.0208393568e-07
f__	 o__	 c__	 p__	k__	f__	 o__	 c__Betaproteobacteria	 p__Proteobacteria	k__	0.243884408227	2.07322416933e-05
f__	 o__	 c__	 p__	k__	f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.325678214076	8.6060484011e-09
f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	f__	 o__	 c__ML615J-28	 p__Tenericutes	k__	0.466312483056	1.70672468114e-17
f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	f__Rikenellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.340136201455	1.66359677817e-09
f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	f__Oxalobacteraceae	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__	0.245601108006	1.804776601e-05
f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.619281375894	6.03727295553e-33
f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	f__	 o__	 c__Clostridia	 p__Firmicutes	k__	0.285653567951	5.29487595223e-07
f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.604709040894	4.20958376922e-31
f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.40878377311	1.97183551322e-13
f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	f__Dehalobacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.371702271076	3.38861846342e-11
f__	 o__	 c__ML615J-28	 p__Tenericutes	k__	f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.260395698609	5.23713650861e-06
f__	 o__	 c__ML615J-28	 p__Tenericutes	k__	f__	 o__	 c__Clostridia	 p__Firmicutes	k__	0.312288766244	3.65806931712e-08
f__	 o__	 c__ML615J-28	 p__Tenericutes	k__	f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.536853523811	1.20356086999e-23
f__	 o__	 c__ML615J-28	 p__Tenericutes	k__	f__Dehalobacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.314838063622	2.79233041592e-08
f__	 o__	 c__	 p__Tenericutes	k__	f__	 o__	 c__	 p__Firmicutes	k__	0.235956443665	3.88249549567e-05
f__Rikenellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.253677451334	9.27237704055e-06
f__Rikenellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.386692675613	4.57163868521e-12
f__Oxalobacteraceae	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__	f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.251513716773	1.1108097506e-05
f__Oxalobacteraceae	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__	f__Dehalobacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.238193502585	3.25961107876e-05
f__Bifidobacteriaceae	 o__Bifidobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	f__Desulfovibrionaceae	 o__Desulfovibrionales	 c__Deltaproteobacteria	 p__Proteobacteria	k__	0.319481226046	1.69628780934e-08
f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.49190480017	1.45596938579e-19
