OTU	Test-Statistic	P	FDR_P	Bonferroni_P	teen_mean	20s_mean	30s_mean	40s_mean	50s_mean
k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae	2.23857541864	0.6919734693	0.849557446457	1.0	0.0	9.62898864806e-07	5.92123593036e-06	0.0	2.37861781162e-06
k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes	2.22014051545	0.695343706949	0.849557446457	1.0	0.0	0.0	5.65722040328e-06	0.0	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia	2.09384924003	0.718502467934	0.849557446457	1.0	0.385375002765	0.407070698754	0.393586632782	0.413870517467	0.402028911561
k__Bacteria; p__Firmicutes; c__Erysipelotrichi	2.05165352143	0.726258790752	0.849557446457	1.0	0.0131297470051	0.01647380652	0.0123529962998	0.0125466074168	0.0151835441248
k__Bacteria; p__Verrucomicrobia; c__Verruco-5	2.04878048756	0.726787091937	0.849557446457	1.0	0.0	0.0	0.0	2.32253475637e-06	0.0
k__Bacteria; p__Bacteroidetes; c__[Rhodothermi]	2.04878048756	0.726787091937	0.849557446457	1.0	0.0	0.0	0.0	1.3327091812e-06	0.0
k__Bacteria; p__Bacteroidetes; c__[Saprospirae]	2.03025978689	0.730193116353	0.849557446457	1.0	0.0	0.000233302141166	4.82461609315e-07	3.78975805265e-06	0.000632300120094
k__Bacteria; p__[Thermi]; c__Deinococci	1.98376230969	0.738745605615	0.849557446457	1.0	0.0	0.0	1.4151003805e-07	2.63126508091e-07	5.21823228195e-06
k__Bacteria; p__Firmicutes; c__Bacilli	1.79027268683	0.77426153772	0.868683676466	1.0	0.0160785334365	0.0225614517535	0.0198316148856	0.0290540161392	0.0272179864097
k__Bacteria; p__Actinobacteria; c__Thermoleophilia	1.21907915855	0.874947480438	0.931785130769	1.0	0.0	3.62155955684e-06	3.15839805573e-06	1.23409622774e-05	2.63608186288e-06
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia	1.19273176947	0.879293828833	0.931785130769	1.0	4.62997278075e-05	0.000311769137729	0.00125992503428	0.00166955765928	0.0024603426887
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria	1.1188330706	0.891272733779	0.931785130769	1.0	0.00230372576995	0.00268537574705	0.00276029044955	0.00315928967945	0.00286196576991
k__Bacteria; p__Cyanobacteria; c__Chloroplast	0.660321396285	0.956130434442	0.963441288851	1.0	6.5792755036e-05	0.000197835781843	0.00039155364822	0.000146818807864	0.000247555071517
k__Bacteria; p__Chloroflexi; c__Gitt-GS-136	0.596595165897	0.963441288851	0.963441288851	1.0	0.0	2.09499503591e-07	3.14714777745e-07	1.9990637718e-06	4.76235060863e-08
