OTU	Test-Statistic	P	FDR_P	Bonferroni_P	teen_mean	20s_mean	30s_mean	40s_mean	50s_mean
k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales	3.85615846532	0.425822546677	0.841967308202	1.0	0.0	3.02067028796e-06	4.61978207573e-06	5.69830510407e-06	8.88940863738e-07
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__	3.6471437321	0.455860169002	0.856749740966	1.0	0.0	0.0	7.78790497471e-07	2.86297110195e-06	2.66115418765e-05
k__Bacteria; p__Acidobacteria; c__DA052; o__Ellin6513	3.45953189469	0.484058227186	0.856749740966	1.0	0.0	1.45242222299e-06	5.12189393129e-07	1.05601251542e-06	6.31480742593e-07
k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]; o__Z20	3.41566598229	0.490816813009	0.856749740966	1.0	0.0	0.0	8.19479943426e-06	2.99737601868e-05	0.0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales	3.26695065653	0.514185626954	0.856749740966	1.0	7.65538710798e-06	0.000969604701256	0.00107430022009	0.000121256631005	0.00130928988591
k__Bacteria; p__Spirochaetes; c__[Brachyspirae]; o__[Brachyspirales]	3.05464672136	0.54872241855	0.856749740966	1.0	0.0	1.72286093463e-07	1.66456888306e-06	1.92628442461e-06	3.44259932191e-06
k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales	2.9736465216	0.562245234625	0.856749740966	1.0	0.0	9.83378226978e-07	1.80009252476e-06	4.0889646806e-06	1.55193803111e-06
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales	2.94125805555	0.567703364407	0.856749740966	1.0	0.0	0.0	2.49808599301e-05	2.97621609978e-06	1.11104614707e-06
k__Bacteria; p__SR1; c__; o__	2.85919813361	0.581657893376	0.856749740966	1.0	0.0	9.47532525262e-07	6.09609280795e-07	1.00136797715e-05	4.10421653641e-06
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales	2.83283940825	0.586177449413	0.856749740966	1.0	0.00133807541838	0.00279261340071	0.00374043784605	0.00281928541838	0.0029674716048
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales	2.81535027778	0.589185897519	0.856749740966	1.0	5.63748787701e-05	1.80939917357e-05	0.000101933610811	3.03147288699e-05	0.000191614840518
k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]	2.77371826278	0.596377871226	0.856749740966	1.0	0.0	2.97998603105e-06	1.45330497702e-06	2.23256467239e-06	2.22146744445e-06
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__BD7-3	2.68971136114	0.611016189136	0.856749740966	1.0	0.0	0.0	0.0	1.62634279792e-06	2.41388728667e-07
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales	2.48864374352	0.646670454735	0.856749740966	1.0	0.0141872873281	0.0175382282788	0.0112018117382	0.0133834286332	0.0127584774717
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__	2.46622415095	0.650693921933	0.856749740966	1.0	9.013280167e-07	3.40797003909e-07	1.38887368177e-05	5.51877531057e-06	4.18184842449e-06
k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales	2.44928593725	0.653739366307	0.856749740966	1.0	0.0	1.98532790794e-07	1.03437244619e-06	1.03770518293e-05	5.12474240435e-06
k__Bacteria; p__Tenericutes; c__Mollicutes; o__Mycoplasmatales	2.35469970099	0.670828758421	0.856749740966	1.0	2.64458263858e-06	2.27156762878e-06	1.28937115877e-05	2.80166564508e-06	4.12568798527e-06
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__GMD14H09	2.30985551751	0.678975280127	0.856749740966	1.0	0.0	0.0	4.11162048651e-07	4.12551097798e-05	0.0
k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales	2.23857541864	0.6919734693	0.856749740966	1.0	0.0	9.62898864806e-07	5.92123593036e-06	0.0	2.37861781162e-06
k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales	2.22014051545	0.695343706949	0.856749740966	1.0	0.0	0.0	5.65722040328e-06	0.0	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales	2.09384924003	0.718502467934	0.856749740966	1.0	0.385375002765	0.407070698754	0.393586632782	0.413870517467	0.402028911561
k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales	2.09185212005	0.718869433776	0.856749740966	1.0	0.0	2.09440223517e-06	1.53637921007e-06	6.01027562847e-06	1.72205989524e-06
k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales	2.07367686462	0.722209789803	0.856749740966	1.0	0.0	1.52715732167e-06	1.62201884566e-06	6.33068664895e-06	9.14021967638e-07
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales	2.05165352143	0.726258790752	0.856749740966	1.0	0.0131297470051	0.01647380652	0.0123529962998	0.0125466074168	0.0151835441248
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales	2.04878048756	0.726787091937	0.856749740966	1.0	0.0	0.0	0.0	1.55482737807e-06	0.0
k__Bacteria; p__Verrucomicrobia; c__Verruco-5; o__WCHB1-41	2.04878048756	0.726787091937	0.856749740966	1.0	0.0	0.0	0.0	2.32253475637e-06	0.0
k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Sphaerochaetales	2.04878048756	0.726787091937	0.856749740966	1.0	0.0	0.0	0.0	1.78400474724e-06	0.0
k__Bacteria; p__Bacteroidetes; c__[Rhodothermi]; o__[Rhodothermales]	2.04878048756	0.726787091937	0.856749740966	1.0	0.0	0.0	0.0	1.3327091812e-06	0.0
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__BPC076	2.04878048756	0.726787091937	0.856749740966	1.0	0.0	0.0	0.0	1.11059098433e-06	0.0
k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]	2.03025978689	0.730193116353	0.856749740966	1.0	0.0	0.000233302141166	4.82461609315e-07	3.78975805265e-06	0.000632300120094
k__Bacteria; p__[Thermi]; c__Deinococci; o__Deinococcales	1.98376230969	0.738745605615	0.856749740966	1.0	0.0	0.0	1.4151003805e-07	2.63126508091e-07	5.21823228195e-06
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales	1.98208839597	0.739053493543	0.856749740966	1.0	0.0	0.0	1.39749395793e-06	1.28302277973e-06	1.26943776394e-05
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales	1.93112566297	0.748425061074	0.856749740966	1.0	1.45993287229e-06	4.1817160085e-05	0.000110597874979	6.07298302057e-05	3.88474166623e-05
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales	1.49549767247	0.827438697794	0.934898268937	1.0	0.0	1.05093492338e-05	1.06725825978e-06	1.61852250098e-08	0.0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales	1.29848723765	0.861632141977	0.943018561516	1.0	0.0	8.84111124076e-07	1.90406556313e-07	9.58816186994e-06	2.81677695739e-06
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales	1.19273176947	0.879293828833	0.943018561516	1.0	4.62997278075e-05	0.000311769137729	0.00125992503428	0.00166955765928	0.0024603426887
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales	1.13516310697	0.888653810721	0.943018561516	1.0	0.0	0.0	5.175228716e-07	2.11012287023e-06	0.0
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales	1.0994057756	0.894366474982	0.943018561516	1.0	0.00230372576995	0.00267475439195	0.0027573162509	0.00311386686492	0.00284927139227
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales	1.06933710244	0.899106199271	0.943018561516	1.0	0.0	6.55927017963e-07	9.85066523701e-07	1.72922410492e-06	1.45953823881e-06
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales	1.06578958762	0.899661386274	0.943018561516	1.0	0.000150201609784	0.000877625668717	0.00690661113742	0.00581141035287	0.00199858450341
k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta	0.660321396285	0.956130434442	0.985324052844	1.0	6.5792755036e-05	0.000197835781843	0.00039155364822	0.000146818807864	0.000247555071517
k__Bacteria; p__Chloroflexi; c__Gitt-GS-136; o__	0.596595165897	0.963441288851	0.985324052844	1.0	0.0	2.09499503591e-07	3.14714777745e-07	1.9990637718e-06	4.76235060863e-08
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales	0.494869694836	0.973998489018	0.985324052844	1.0	5.68747959913e-06	0.000258005043736	0.0011865649354	0.000958564092301	0.00126352282785
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales	0.180535151596	0.996162953051	0.996162953051	1.0	1.23834665049e-05	5.62448806448e-05	0.000513193574641	0.000563756928254	0.000735831165549
