OTU	Test-Statistic	P	FDR_P	Bonferroni_P	teen_mean	20s_mean	30s_mean	40s_mean	50s_mean
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae	4.89086038722	0.298680325756	0.647740465494	1.0	0.0	0.000160785697913	0.000812054474495	0.000204351956166	0.000382073605732
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Brucellaceae	4.71466177808	0.317847170063	0.681101078706	1.0	0.0	7.52247111748e-05	0.000708062486451	0.000374740254932	0.000486472845826
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae	4.61958819106	0.328601957973	0.682753674076	1.0	0.0	2.77244565603e-05	5.66403731553e-05	4.31522774308e-05	8.6713827172e-06
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae	4.61903223909	0.328665708525	0.682753674076	1.0	0.0	5.8141056016e-07	6.08479308962e-07	0.0	6.27721328891e-08
k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2; f__[Methanomassiliicoccaceae]	4.59824328179	0.331056780084	0.682753674076	1.0	0.0	1.13553301977e-07	2.25093971101e-06	1.03381737504e-05	1.15859773302e-05
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae	4.57462222743	0.333790685104	0.682753674076	1.0	0.0	1.06065436859e-07	4.00253007931e-08	1.43322191434e-07	8.47473729379e-05
k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae	4.33930803999	0.362028775487	0.732193029076	1.0	0.0	6.49916378573e-07	6.1667946743e-08	3.45833584729e-07	5.07560384288e-07
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae	4.25738931301	0.372291257201	0.736552633356	1.0	8.00806298019e-05	4.2762702301e-05	9.76440102932e-05	0.000166243915288	7.00504724905e-05
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Phyllobacteriaceae	4.25678123779	0.372368275752	0.736552633356	1.0	0.0	0.0	5.00837567561e-06	1.41638258552e-06	4.334658898e-05
k__Bacteria; p__Actinobacteria; c__Nitriliruptoria; o__Euzebyales; f__Euzebyaceae	4.10054318876	0.392569785391	0.744155906814	1.0	0.0	0.0	0.0	2.29938515352e-06	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae	4.1003370765	0.392596979515	0.744155906814	1.0	4.34652213032e-06	2.11890069506e-05	2.51167334103e-05	2.07587865976e-05	4.47854291074e-05
k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__Solibacteraceae	4.07300432598	0.39621593961	0.744155906814	1.0	0.0	1.5693513763e-06	2.49722032903e-07	5.77682517168e-07	7.53375242733e-07
k__Bacteria; p__TM7; c__TM7-3; o__CW040; f__	3.95241439283	0.412484165993	0.744155906814	1.0	0.0	7.20383347676e-08	3.92395593058e-07	9.48378350567e-07	2.06384072731e-07
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__	3.92482089666	0.41627583617	0.744155906814	1.0	3.44837958183e-05	0.000133536856412	0.000101703392604	0.000371731348449	0.000104085786235
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]	3.86034029367	0.425236559253	0.744155906814	1.0	0.00157967730874	0.00111349385923	0.000720062261599	0.000846270896535	0.000931841804009
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Erythrobacteraceae	3.85865724391	0.425472329154	0.744155906814	1.0	0.0	0.0	0.0	0.0	4.26782958556e-06
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae	3.85865724391	0.425472329154	0.744155906814	1.0	0.0	0.0	0.0	0.0	2.91144585975e-06
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__	3.85865724391	0.425472329154	0.744155906814	1.0	0.0	0.0	0.0	0.0	6.28407093837e-05
