OTU	Test-Statistic	P	FDR_P	Bonferroni_P	male_mean	female_mean
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__02d06	9.03642466524	0.00264652724836	0.0250435821502	1.0	2.94067589625e-05	1.9665225955e-05
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Kocuria	9.02530980507	0.00266266793998	0.0250435821502	1.0	8.96664535898e-05	3.40056454638e-06
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__EtOH8; g__	9.02425089325	0.00266421086704	0.0250435821502	1.0	1.24200220123e-05	2.6714418264e-05
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__; g__	8.90047521919	0.00285096449598	0.0262735943747	1.0	0.000263782931135	0.000117864515405
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Brevibacteriaceae; g__Brevibacterium	8.86234177878	0.00291113866352	0.0263122148434	1.0	0.000155853357535	0.000103308146352
k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2; f__[Methanomassiliicoccaceae]; g__Methanomassiliicoccus	8.7634205196	0.00307332114533	0.027253979968	1.0	1.11851286879e-06	1.23608761695e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Mitsuokella	8.72848747295	0.00313276269937	0.0272666383094	1.0	4.38873432552e-05	1.82762110914e-06
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__	8.64424083225	0.00328096822975	0.0280373648724	1.0	1.93755418644e-05	1.19053099329e-06
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptococcaceae; g__rc4-4	8.55840755744	0.00343930132511	0.0281676387946	1.0	0.000198875385447	0.000288233161394
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus	8.54774186829	0.00345951112139	0.0281676387946	1.0	0.000307754356104	0.000351604629038
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Allobaculum	8.53908330817	0.00347600648954	0.0281676387946	1.0	4.03348597165e-06	2.30850738726e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Anaerovibrio	8.47087616335	0.00360877567117	0.0287478739907	1.0	0.000117630450119	6.04355773365e-08
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__	8.30615878457	0.00395108653783	0.0309501778796	1.0	0.000196346051609	6.1741936789e-05
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium	8.14754863307	0.00431194100566	0.0332231520108	1.0	0.00686520305866	0.00442136579776
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__	8.08179865939	0.00447120455663	0.0338946151874	1.0	0.00338477788124	0.00588865112549
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__	7.61781134925	0.00577945876848	0.0431165971617	1.0	0.00447206969131	0.00286467105386
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Catenibacterium	7.52393276419	0.00608846138522	0.0447121382977	1.0	0.00284734191407	0.000571269225237
k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Sneathia	7.34369322046	0.00672984345954	0.0486619450152	1.0	7.51375348169e-06	0.00011654431505
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]; g__Mogibacterium	7.20038440856	0.0072887966375	0.051905066964	1.0	9.02237880354e-05	7.24333167095e-05
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus	7.13828076275	0.00754554657201	0.0528538375123	1.0	0.00470721148365	0.00285523249914
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__; g__	7.11434867378	0.00764693819327	0.0528538375123	1.0	3.09706015696e-05	0.000127879764376
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus	6.75941502693	0.00932543258792	0.0635210625554	1.0	0.00100033394877	0.000542022967935
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__	6.58917392699	0.0102600769475	0.0682319681387	1.0	0.0439844914775	0.0529482814761
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__[Exiguobacteraceae]; g__	6.58098525849	0.0103073824209	0.0682319681387	1.0	0.0	6.10553578937e-06
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Paenisporosarcina	6.55056394594	0.0104850920428	0.0682413152452	1.0	0.000268599823355	0.000457746396818
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Oceanobacillus	6.53131063818	0.0105991830062	0.0682413152452	1.0	0.000319350202851	0.000182830953388
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__	6.43527964083	0.0111875543636	0.0710560885256	1.0	0.00286205076203	0.00146895955282
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc	6.24356670196	0.0124645208249	0.0781109971696	1.0	0.000408113715674	7.8630184795e-05
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__	6.10588288647	0.0134732625442	0.0833214920494	1.0	0.000665055392069	0.000350387952581
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__	6.07546381581	0.0137072304774	0.083667510706	1.0	0.000579273550612	0.000282288788011
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces	6.03359797024	0.0140360943767	0.0845764661162	1.0	0.000526383791297	0.000365889984861
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Megasphaera	5.98385236917	0.0144374333519	0.084917832594	1.0	0.00259902149758	0.000856870919067
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Solibacillus	5.98181754903	0.0144540991649	0.084917832594	1.0	0.00014134007059	0.000128511657159
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Odoribacteraceae]; g__Butyricimonas	5.93243520723	0.0148646864078	0.0862518840949	1.0	0.00133110420042	0.00167392480443
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Clostridium	5.84367555459	0.0156331363214	0.0896045618422	1.0	4.44385149315e-06	8.62194603205e-06
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Herminiimonas	5.68368231847	0.0171233936126	0.0969637951558	1.0	1.08830346781e-06	4.49411466803e-06
k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]; o__Z20; f__R4-45B; g__	5.51026859239	0.0189051434706	0.105778778942	1.0	2.37010378867e-05	0.0
k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter	5.43867718427	0.019695580196	0.108904972848	1.0	0.00012721049959	0.000263300418981
