OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Obese_mean	Normal_mean	Overweight_mean	Underweight_mean
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__	5.69167944291	0.127613110402	0.40228102508	1.0	7.07252275393e-05	3.60454392141e-05	4.73525946669e-06	0.000202313605196
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae	5.67191326577	0.128710321697	0.40228102508	1.0	0.0	1.61108313688e-07	0.0	2.10176758654e-06
k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae	5.65557736614	0.129623885859	0.40228102508	1.0	2.4502116379e-05	1.00457402481e-06	1.28523630523e-06	2.73677930338e-07
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Succinivibrionaceae	5.5607343691	0.135050821684	0.412019455985	1.0	5.1552748417e-05	0.000696839093349	0.00126907126554	1.91215557298e-06
k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae	5.46670141924	0.140643861926	0.421931585777	1.0	4.64370217507e-06	9.33339926593e-07	4.83678344726e-07	1.54198833483e-06
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Geobacteraceae	5.35654762036	0.147474900997	0.43056782816	1.0	3.56267928258e-07	8.89769325384e-08	4.80011919656e-08	3.05615999609e-07
k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]; o__Victivallales; f__Victivallaceae	5.3355450391	0.148812485003	0.43056782816	1.0	0.000124636813066	0.000244599016161	0.000194812878913	0.000147079837777
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae	5.30622855445	0.150698739856	0.43056782816	1.0	0.0014787572092	0.000726241695803	0.000708284531677	0.000633213150606
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Cryomorphaceae	4.96311568158	0.174518005022	0.490831889126	1.0	7.93545611023e-06	0.00113081557033	5.10529655901e-07	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae	4.8504099541	0.183084343517	0.496282495383	1.0	0.00962269523122	0.0136211111676	0.0113685822266	0.011452822118
k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__Iamiaceae	4.82935839405	0.184727373282	0.496282495383	1.0	1.2302230658e-05	2.05227156191e-07	0.0	0.0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Crenotrichaceae	4.82935839405	0.184727373282	0.496282495383	1.0	8.34794223224e-06	2.53129743612e-07	0.0	0.0
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae	4.56886667716	0.206229180167	0.54590077103	1.0	0.00179860680199	0.00463884295882	0.000974346061618	0.00615222735243
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae	4.43926903833	0.217771741819	0.567152164948	1.0	9.1637406708e-06	0.000118253925277	2.47488900038e-05	5.75239830295e-05
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae	4.37900578182	0.223339951578	0.567152164948	1.0	3.74858175364e-05	3.66915398338e-05	7.87297265493e-06	3.20922007285e-06
k__Bacteria; p__SR1; c__; o__; f__	4.37046935176	0.224139234115	0.567152164948	1.0	2.85501489573e-05	1.60039163704e-06	4.61347752101e-06	0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Propionibacteriaceae	4.32545464426	0.228397805012	0.567152164948	1.0	7.50073263011e-06	1.00963432431e-05	7.86063462816e-06	2.60692151142e-06
k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae	4.29914652513	0.230921005236	0.567152164948	1.0	1.22191332057e-05	0.000206753114289	0.000136881713769	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae	4.2759957222	0.233162556701	0.567152164948	1.0	0.000197455594965	0.000349791187133	0.000279149611952	0.000543944917068
k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Conexibacteraceae	4.22657625572	0.238014531043	0.571234874503	1.0	1.71517116259e-06	5.4603570111e-07	1.56128873269e-08	5.47355860676e-07
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae	4.1672815525	0.243958104881	0.577795511561	1.0	0.00306161986511	0.00484853559679	0.00394690133089	0.00669755327894
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Aurantimonadaceae	4.12964404874	0.247800926037	0.579274892034	1.0	6.56196712558e-06	1.50865138812e-06	1.14367693048e-07	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__; f__	4.03746608974	0.257446785984	0.594107967655	1.0	4.51302909367e-06	9.2257179747e-06	6.06477712975e-06	3.78319129971e-06
k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]	3.89173811976	0.273394258599	0.622923627187	1.0	6.46971240937e-06	1.89615843346e-06	8.99851856538e-07	2.08934419551e-06
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae	3.85304798417	0.277775764382	0.624995469859	1.0	1.49742578355e-06	1.65775895149e-05	6.3763298716e-08	0.0
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__0319-6G20	3.73469004747	0.291574712692	0.641915515184	1.0	6.62832841511e-06	3.2495755242e-06	2.1236721227e-06	0.0
k__Bacteria; p__Acidobacteria; c__DA052; o__Ellin6513; f__	3.72753589842	0.292428179139	0.641915515184	1.0	3.85739150608e-06	6.03441270794e-07	5.20075137879e-07	2.73677930338e-07
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae	3.6565105299	0.301023298316	0.652821610805	1.0	0.00324663074556	0.00269704331897	0.00314367672366	0.003251595146
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__[Exiguobacteraceae]	3.48055648755	0.323292648604	0.673224657552	1.0	4.39365380644e-07	2.19648484567e-05	1.86119843037e-05	2.07938741077e-05
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Listeriaceae	3.45844287768	0.326192071773	0.673224657552	1.0	4.18407825525e-06	2.55511059833e-06	1.34922772834e-06	3.52393450573e-06
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__; f__	3.42391777875	0.330764613764	0.673224657552	1.0	7.53907061493e-06	8.18607306384e-06	5.23173230348e-06	2.73677930338e-07
k__Bacteria; p__Elusimicrobia; c__Elusimicrobia; o__Elusimicrobiales; f__Elusimicrobiaceae	3.40350445814	0.333494595703	0.673224657552	1.0	0.0	1.74849740749e-05	1.0929515659e-05	0.0
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae	3.32389937112	0.344330125138	0.673224657552	1.0	0.0	0.0	6.31221919392e-06	0.0
k__Bacteria; p__Verrucomicrobia; c__Verruco-5; o__WCHB1-41; f__RFP12	3.32389937112	0.344330125138	0.673224657552	1.0	0.0	0.0	3.29390935573e-06	0.0
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__	3.32389937112	0.344330125138	0.673224657552	1.0	0.0	0.0	1.78417112762e-06	0.0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__	3.32389937112	0.344330125138	0.673224657552	1.0	0.0	0.0	1.73474229102e-06	0.0
k__Bacteria; p__Synergistetes; c__Synergistia; o__Synergistales; f__Synergistaceae	3.3086797392	0.346436412541	0.673224657552	1.0	1.11250795489e-05	7.31215701683e-05	3.7435225003e-05	2.88114874783e-05
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae	3.29863451721	0.347832739735	0.673224657552	1.0	6.14882925333e-07	1.56100630928e-07	2.46684183197e-06	2.73677930338e-07
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae	3.24005297435	0.356073679978	0.681843216979	1.0	0.00142965647352	0.00121737803294	0.00290259280023	0.00122156936124
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermacoccaceae	3.18288361925	0.364278477014	0.690211851184	1.0	4.40335817708e-07	2.99253567553e-07	0.0	1.30077070664e-05
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae	3.13388732598	0.3714394834	0.694184862096	1.0	0.00321619991487	0.000271579643892	0.000198506986676	0.000892192958067
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae	3.11596785668	0.374088509018	0.694184862096	1.0	1.05546871256e-05	3.33681094625e-05	8.9530939498e-06	1.64985202877e-05
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Sanguibacteraceae	3.07257134943	0.380570880783	0.699007740213	1.0	1.61299115984e-07	1.21238490662e-06	2.38398953036e-07	5.24092533778e-07
k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__	3.0183829067	0.38879956847	0.706908306309	1.0	4.40183340851e-07	1.42436126565e-07	1.56128873269e-08	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae	2.99242165872	0.392795083844	0.707031150919	1.0	8.77336593796e-05	2.35165498657e-05	1.42575328098e-05	2.63274865732e-05
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__	2.95859963559	0.398052442276	0.708988969391	1.0	0.00104198810306	0.00131715127225	0.000551605410683	0.00142312296736
k__Bacteria; p__Firmicutes; c__Bacilli; o__Gemellales; f__	2.93333956979	0.402017505321	0.708988969391	1.0	1.35837848356e-05	1.49711699255e-06	2.10647100318e-06	5.54640173644e-06
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae	2.89811688339	0.407601754966	0.708988969391	1.0	0.00427009519703	0.00353472123531	0.00461668738551	0.00257938917435
k__Bacteria; p__TM7; c__TM7-3; o__; f__	2.86719846795	0.412556981035	0.708988969391	1.0	7.0772313872e-06	4.61828919757e-06	2.01286108038e-06	2.72053510573e-06
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__	2.86087313612	0.413576898811	0.708988969391	1.0	0.000471774468141	2.29604532465e-05	4.29022332187e-05	0.00026834602723
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]	2.83380153413	0.417965767778	0.709753190566	1.0	0.00771818709426	0.0062504797534	0.00846332706271	0.00693040666184
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae	2.78426097765	0.426097398271	0.716799361577	1.0	6.31212650016e-05	7.37440966076e-05	0.000216902980051	8.50606332126e-05
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]	2.73026998497	0.435107713089	0.725179521816	1.0	8.62012038462e-05	0.000288630305155	0.00059310252687	0.000448922883608
