OTU	Test-Statistic	P	FDR_P	Bonferroni_P	hispanic_mean	white_mean	black_mean	asian_mean
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Holdemania	4.80014441246	0.187030298623	0.336654537522	1.0	0.000159227915318	0.000170893679865	0.000144179780816	0.000100784975835
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae	4.7266820702	0.192940265014	0.34159915773	1.0	0.0	7.89720606123e-05	2.74649821478e-05	0.000296675353123
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Megasphaera	4.65664299359	0.198736473651	0.346186115391	1.0	0.000988236878577	0.000109172387815	5.49299642955e-05	0.000162180302954
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	4.52008651606	0.210505598504	0.360866740292	1.0	1.40458170899e-05	7.3586060729e-05	1.91021967526e-05	1.55494394427e-05
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__cc_115	4.4088636438	0.22056492747	0.372203315106	1.0	3.31787461986e-05	3.72284159367e-05	2.65533722783e-05	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptococcaceae; g__rc4-4	4.36416513712	0.224731201289	0.373399534449	1.0	7.77782778056e-05	4.29606618589e-05	7.85114234121e-06	0.0
Unassigned	4.06361725834	0.254676049982	0.407932051591	1.0	0.00146998693204	0.00256664572622	0.00116694488909	0.00234406909529
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32; f__; g__	4.05680572912	0.25539511041	0.407932051591	1.0	0.0065165376357	0.00548356916256	0.000177304964539	0.00239425149931
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus	4.04311369282	0.256846106557	0.407932051591	1.0	0.0322391903929	0.0214260350244	0.0190231842489	0.0196464290908
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus	3.97990470816	0.263642250384	0.412657435384	1.0	3.04742913982e-05	1.67198793305e-05	9.79911807937e-06	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__	3.37737835154	0.337017402965	0.512692695205	1.0	0.0	1.87195174536e-05	0.0	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__[Prevotella]	3.35646179245	0.339861208765	0.512692695205	1.0	4.3767836652e-05	0.00407320300083	0.00307692307692	0.0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__	3.342324804	0.341795130137	0.512692695205	1.0	0.000879065397518	0.000863726187464	0.000220350466025	0.00232240730342
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__EtOH8; g__	3.11947116405	0.373569347309	0.547285422824	1.0	5.13249983647e-05	1.86277295817e-05	0.0	0.0
k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__[Cerasicoccales]; f__[Cerasicoccaceae]; g__	3.10988192653	0.374991863787	0.547285422824	1.0	0.000269359641434	4.49616810411e-05	2.74649821478e-05	0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium	2.98482991906	0.393970022939	0.567316833033	1.0	0.00210094721166	0.000617576147704	0.000262781590688	0.000719802776161
k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales; f__Anaeroplasmataceae; g__	2.945222944	0.40014805587	0.568631447815	1.0	0.0	0.00017047293123	0.0	0.0
k__Bacteria; p__Synergistetes; c__Synergistia; o__Synergistales; f__Synergistaceae	2.69391972003	0.441261563369	0.618912322648	1.0	0.0	1.12813590611e-05	0.0	2.17918730841e-05
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Coprobacillus	2.5826335399	0.460542249098	0.637673883367	1.0	0.000168646177946	0.000126881816794	0.000107125098983	5.93481239392e-05
